Players ,MPG ,PPG,PER ,All-star,Insta Followers,Instagram,Twitter Followers,Tiktok,Tiktok Mentions,Salary 
Marcus Smart ,32.3,12.1,13.67,0,"768,000",1,"447,900",0,"93,400,000","14,339,285"
Jaylen Brown ,33.6,23.6,18.98,1,"2,500,000",1,"627,400",1,"192,100,000","26,758,928"
Jayson Tatum ,35.9,26.9,21.87,3,"5,200,000",1,"1,000,000",0,"693,900,000","28,103,550"
Robert Williams III,29.6,10,22.1,0,"237,000",1,"90,700",0,"14,200,000","3,661,976"
Derrick White,27.4,11,13.01,0,"158,000",1,"34,800",0,"4,700,000","15,178,571"
Al Horford,29.1,10.2,16.71,5,"665,000",1,"372,900",0,"46,100,000","27,000,000"
Trae Young ,34.9,28.4,25.48,2,"4,800,000",1,"1,000,000",0,"904,800,000","8,326,471"
John Collins ,30.8,16.2,18.75,0,"209,000",1,"34,700",1,"31,700,000","23,000,000"
Bogdan Bogdanovic ,29.3,15.1,15.49,0,"620,000",1,"293,900",0,"7,900,000","18,000,000"
De'Andre Hunter ,29.8,13.4,10.66,0,"94,300",1,"14,900",0,"829,200","7,775,400"
Kevin Huerter ,29.6,12.1,11.91,0,"118,000",1,"44,700",0,"608,400","4,253,357"
Clint Capela ,27.6,11.1,21.43,0,"403,000",1,"95,200",0,"7,600,000","18,603,448"
Kyrie Irving,37.7,27.4,21.49,7,"17,300,000",1,"4,500,000",1,"1,800,000,000","35,328,700"
Kevin Durant ,37.2,29.9,25.69,12,"13,000,000",1,"20,500,000",0,"1,900,000,000","42,018,900"
Goran Dragic,25.5,7.3,8.63,1,"482,000",1,0,0,"157,600","5,771,889"
Joe Harris ,30.2,11.3,9.64,0,"125,000",1,0,0,"7,100,000","17,357,143"
Seth Curry,29.9,14.9,14.61,0,"2,100,000",1,"383,700",0,"65,200,000","8,207,518"
Patty Mills,29,11.4,10.43,0,"588,000",1,"422,500",1,"30,700,000","5,890,000"
Miles Bridges ,35.5,20.2,17.97,0,"701,000",1,"208,000",0,"184,000,000","5,421,493"
Terry Rozier ,33.7,19.3,17.62,0,"552,000",1,"186,800",0,"26,400,000","17,905,263"
LaMelo Ball ,32.3,20.1,19.76,1,"9,300,000",1,"1,000,000",1,"2,500,000,000","8,231,760"
Gordon Hayward ,31.9,15.9,15.11,1,"1,200,000",1,"655,400",0,"31,700,000","29,925,000"
PJ Washington ,27.2,10.3,13.6,0,"827,000",1,"104,100",0,"38,800,000","4,215,120"
Kelly Oubre ,26.3,15,15.01,0,"1,700,000",1,"137,800",1,"378,200,000","12,000,000"
Demar Derozan ,36.1,27.9,23.13,5,"3,200,000",1,"773,000",0,"196,300,000","26,000,000"
Zach Lavine ,34.7,24.4,20.08,2,"2,500,000",1,"599,400",0,"314,900,000","19,500,000"
Lonzo Ball ,34.6,13,14.49,0,"14,900,000",1,"1,300,000",0,"733,500,000","18,604,651"
Nikola Vucevic ,33.1,17.6,18.27,2,0,0,"172,700",0,"5,000,000","24,000,000"
Alex Caruso ,28,7.4,11.75,0,"1,600,000",1,"383,300",0,"166,800,000","8,650,651"
Coby White ,27.5,12.7,12.6,0,"427,000",1,"68,000",0,"5,800,000","5,837,760"
Darius Garland ,35.7,21.7,19.04,1,"436,000",1,"80,200",1,"38,000,000","7,040,880"
Evan Mobley ,33.8,15,16.15,0,"218,000",1,"46,600",1,"19,900,000","8,075,160"
Jarrett Allen ,32.3,16.1,23.08,1,"254,000",1,"75,400",0,"20,100,000","20,000,000"
Lauri Markkanen ,30.8,14.8,14.76,0,"280,000",1,"108,100",0,"7,600,000","15,690,909"
Caris LeVert,29.8,13.6,12.45,0,"253,000",1,"54,100",0,"4,600,000","17,500,000"
Isaac Okoro ,29.6,8.8,10.39,0,"172,000",1,"36,500",1,"5,200,000","6,720,720"
Luka Doncic ,35.4,28.4,25.13,3,"7,300,000",1,"1,700,000",1,"1,000,000,000","10,174,391"
Dorian Finney-Smith ,33.1,11,12.56,0,"94,100",1,"20,900",0,"2,700,000","4,000,000"
Jalen Brunson ,31.9,16.3,17.14,0,"190,000",1,"80,600",0,"30,200,000","1,802,057"
Tim Hardaway Jr. ,29.6,14.2,12.79,0,"492,000",1,"138,100",0,"5,000,000","21,308,816"
Spencer Dinwiddie,28.3,15.8,19.03,0,"300,000",1,"122,600",0,"10,900,000","17,142,857"
Reggie Bullock ,28,8.6,9.25,0,"191,000",1,"111,700",0,"2,000,000","9,536,000"
Nikola Jokic ,33.5,27.1,32.94,4,0,0,0,0,"273,800,000","31,579,390"
Will Barton ,32.1,14.7,13.42,0,0,0,"46,400",0,"1,400,000","15,625,000"
Aaron Gordon ,31.7,15,15.38,0,"1,100,000",1,"208,300",1,"87,800,000","16,409,091"
Monte Morris ,29.9,12.6,14.75,0,"140,000",1,"23,500",0,"1,000,000","8,449,074"
Jeff Green ,24.7,10.3,12.51,0,0,0,"154,000",0,"7,800,000","4,500,000"
Austin Rivers ,22.1,6,7.24,0,"418,000",1,"288,800",0,"29,100,000","2,401,537"
Saddiq Bey ,33,16.1,14.08,0,"57,000",1,"9,713",0,"2,000,000","2,824,320"
Cade Cunningham ,32.6,17.4,13.12,0,"576,000",1,"102,900",0,"72,400,000","10,050,120"
Jerami Grant ,31.9,19.2,16.12,0,"186,000",1,"53,400",0,"4,600,000","20,002,500"
